2.69E-01,2.78E-01,5.19E-01,2.63E-01,2.52E-01,2.51E-01,2.74E-01,2.69E-01,2.77E-01
2.52E-01,2.61E-01,6.48E-01,2.67E-01,2.48E-01,2.38E-01,2.85E-01,2.69E-01,2.77E-01
2.46E-01,2.89E-01,5.98E-01,2.51E-01,2.59E-01,2.49E-01,2.97E-01,2.69E-01,2.77E-01
2.90E-01,2.74E-01,5.11E-01,2.53E-01,2.58E-01,2.47E-01,2.94E-01,2.69E-01,2.77E-01
2.64E-01,2.90E-01,5.65E-01,2.56E-01,2.69E-01,2.49E-01,2.44E-01,2.69E-01,2.77E-01
2.99E-01,2.52E-01,5.05E-01,2.46E-01,2.56E-01,2.57E-01,2.79E-01,2.69E-01,2.77E-01
2.70E-01,2.92E-01,6.65E-01,2.54E-01,2.48E-01,2.51E-01,2.74E-01,2.69E-01,2.77E-01
2.39E-01,3.19E-01,5.05E-01,2.55E-01,2.68E-01,2.49E-01,2.93E-01,2.69E-01,2.77E-01
2.81E-01,2.69E-01,6.00E-01,2.59E-01,2.52E-01,2.55E-01,2.45E-01,2.69E-01,2.77E-01
2.59E-01,2.65E-01,5.13E-01,2.63E-01,2.57E-01,2.53E-01,2.68E-01,2.69E-01,2.77E-01
