7.43E-01,7.14E-01,7.71E-01,8.00E-01,8.00E-01,7.71E-01,9.43E-01
7.71E-01,8.29E-01,7.43E-01,8.29E-01,8.29E-01,7.43E-01,8.57E-01
8.00E-01,7.43E-01,8.00E-01,9.14E-01,8.86E-01,7.43E-01,9.43E-01
8.57E-01,8.57E-01,8.00E-01,8.29E-01,8.29E-01,7.43E-01,8.86E-01
7.43E-01,8.57E-01,7.43E-01,8.29E-01,8.00E-01,7.43E-01,9.14E-01
8.00E-01,7.14E-01,7.71E-01,8.57E-01,9.71E-01,8.29E-01,8.00E-01
8.00E-01,6.86E-01,7.71E-01,8.86E-01,9.43E-01,7.71E-01,8.86E-01
8.00E-01,8.00E-01,7.43E-01,8.57E-01,8.57E-01,7.71E-01,8.86E-01
7.71E-01,8.29E-01,8.00E-01,8.57E-01,8.29E-01,7.43E-01,8.86E-01
7.71E-01,8.29E-01,8.00E-01,8.29E-01,8.57E-01,7.71E-01,8.86E-01
