4.44E+00,2.21E+00,1.02E+02,1.05E+00,1.22E+00,1.04E+01,1.21E+00,8.14E+00,4.77E+00
3.24E+00,2.57E+00,1.01E+02,8.66E-01,1.27E+00,1.17E+01,1.39E+00,8.14E+00,4.77E+00
3.98E+00,3.24E+00,1.01E+02,9.18E-01,1.25E+00,1.16E+01,1.03E+00,8.14E+00,4.77E+00
4.62E+00,3.27E+00,9.88E+01,1.33E+00,1.33E+00,9.28E+00,1.29E+00,8.14E+00,4.77E+00
2.63E+00,1.79E+00,9.96E+01,9.91E-01,1.11E+00,1.21E+01,1.68E+00,8.14E+00,4.77E+00
3.78E+00,2.12E+00,1.01E+02,9.12E-01,1.03E+00,1.07E+01,1.45E+00,8.14E+00,4.77E+00
4.52E+00,4.79E+00,9.94E+01,1.03E+00,1.10E+00,1.29E+01,1.07E+00,8.14E+00,4.77E+00
3.73E+00,5.29E+00,9.89E+01,9.71E-01,1.25E+00,1.70E+01,1.33E+00,8.14E+00,4.77E+00
4.52E+00,2.89E+00,9.99E+01,1.18E+00,1.10E+00,1.20E+01,9.89E-01,8.14E+00,4.77E+00
5.17E+00,3.45E+00,1.01E+02,1.08E+00,1.22E+00,1.16E+01,1.18E+00,8.14E+00,4.77E+00
